Team,Component_1,Component_2,Component_3,Component_4,Component_5
ALG,-1.1599724083491165,0.9031954899824882,0.4948767433879293,0.23551472106739205,-0.08251886980779546
ANG,3.494508357472103,0.059729921620719016,0.3316097816333131,-0.2199581667599166,0.6085195005508018
ARG,0.6077227296107821,0.8936088690351255,-0.3349425856799839,0.2688885062084272,-0.20802628424373484
AUT,3.2626034761366003,-0.5510006701332073,0.20449881394318153,0.29647287578552606,-0.14818581353020682
BLR,-0.13629716517623702,0.44012247336790633,1.8428748079424497,-0.7609372570256855,-0.3407884378741816
BRA,0.2371515103490049,0.35790365679405833,0.13982234868248225,0.525558234165807,0.06231185588985515
BRN,0.5499561076951004,0.0002913812901054327,0.5101070241957085,-0.05635855192063116,-1.5198706754317768
CHI,2.72474974247366,-0.03500776004184015,-0.2969277461636413,-1.1288928936071854,-0.2469710248994118
COD,3.3712368087838627,-0.3877773862081357,-0.589870145028268,0.4331302945721146,-0.36395458815345066
CPV,5.62870932969365,-1.4134706540117794,-1.0994609639385808,0.5920982336126186,0.12809677045430143
CRO,0.9602117650198001,0.139302435904699,0.70694713440578,-0.6213731872591026,-0.04212900583992733
DEN,-4.36845099912417,-2.074833096730822,-1.7796087943410066,1.1220879196696103,0.09822806384409731
EGY,-2.6680886589775645,-0.5821749819442443,-0.2853809853429496,-0.6118086780164971,1.212473196507945
ESP,-4.057215111120758,-1.0736025239211449,1.3991503257780822,2.0051450821987897,0.9283188710426703
FRA,-4.54756863488112,2.660768948510082,-1.1507244998388977,-0.4888046654172484,-0.011152753328106078
GER,1.3895711250394402,-1.2426831069524842,-0.19703710767032992,-0.6192755339591004,0.0631518013394319
HUN,-1.6543240153981404,-0.48578285686381883,0.8168360259338348,-0.1777840352947013,1.597522094750023
ISL,-1.3762787255386009,0.12779736192862237,-0.9407639131262767,-0.4090614168341072,-0.26614927260059934
JPN,0.5176973930884188,0.5261929926653781,-1.5718277909417007,-0.16107653441303985,-0.368582433546617
KOR,2.6893022209544113,0.5611833151672069,-0.7386996395203272,0.7493654091295321,0.2063206104443289
MAR,2.391236753245436,0.36683278910590283,0.05134336353942516,0.18295778044998007,-0.17573440389257544
MKD,-0.5843310008084491,0.3310551039399622,0.23656186208073882,1.0528863170693923,-0.9430154124182747
NOR,-3.228649300847919,-0.7736488299378873,0.9537958414812792,0.9727925562248342,-0.9244754338722181
POL,-0.07682531429294338,0.2592735551545834,-0.483969357673528,-0.26531071882759044,0.09446758780763322
POR,-1.4531989419161881,0.7475243951549975,-1.1190926667051,-1.0540832679980332,1.1665979554206958
QAT,-0.30581365742631345,0.42688609380419096,0.48361860686210584,-0.29803359324920803,0.9998199112482227
RHF,-0.40185758033938807,0.3744976366695919,1.0579901840978314,-0.9844939785014348,-0.1001738051392831
SLO,-1.3979510359467253,0.04642130563014141,0.07973491263409663,-1.1210189099909567,-0.24988556493221661
SUI,0.379353247976757,-0.7626292756745064,1.8635863549162954,-0.8851042646774423,-0.38392381020211497
SWE,-4.40467303926496,-1.2913293076257857,-0.7899238619673291,-0.7230367143686572,-1.4980946499781844
TUN,2.3689015247473737,-1.073030872602359,-0.08113667985053709,0.023674864485635827,0.6717317962628554
URU,1.2485834971221859,2.5243835969222523,0.28601260627392466,2.125839573480878,0.03607222412781399
