Team,kmeans_group
ALG,4
ANG,1
ARG,0
AUT,1
BLR,4
BRA,0
BRN,0
CHI,1
COD,1
CRO,0
DEN,2
EGY,3
ESP,2
FRA,2
GER,0
HUN,3
ISL,4
JPN,0
KOR,1
MAR,1
MKD,4
NOR,3
POL,0
POR,4
QAT,4
RHF,4
SLO,4
SUI,4
SWE,2
TUN,1
URU,1
